pair,history_model,strategy_side_policy,entry_execution_policy,exit_center_policy,max_holding_minutes,data_scope,status,event_count
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,COMMON_FOUR_WINDOW,NO_NEXT_BAR_FOR_EXIT,1
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,COMMON_FOUR_WINDOW,REALIZED,95
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,14
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,17
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,PAIR_NATIVE_WINDOW,NO_NEXT_BAR_FOR_EXIT,1
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,PAIR_NATIVE_WINDOW,REALIZED,96
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,COMMON_FOUR_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,COMMON_FOUR_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,PAIR_NATIVE_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,COMMON_FOUR_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,COMMON_FOUR_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,PAIR_NATIVE_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,COMMON_FOUR_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,COMMON_FOUR_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,PAIR_NATIVE_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,15
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,REALIZED,99
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,DATA_GAP_DURING_HOLD,14
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,NO_NEXT_BAR_FOR_EXIT,1
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,REALIZED,94
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,PAIR_NATIVE_WINDOW,DATA_GAP_DURING_HOLD,14
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,PAIR_NATIVE_WINDOW,ENTRY_SIGNAL_DECAYED,16
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,PAIR_NATIVE_WINDOW,NO_NEXT_BAR_FOR_EXIT,1
