pair,history_model,strategy_side_policy,entry_execution_policy,exit_center_policy,max_holding_minutes,data_scope,signal_count,entered_count,realized_count,max_hold_count,right_censored_count,data_gap_count,no_next_entry_count,no_next_exit_count,entry_decayed_count,invalid_price_count,realized_rate,max_hold_rate,data_gap_rate,unresolved_rate,entry_decay_rate,positive_event_count,win_rate,sum_net_account_price_pnl_bps,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,p05_net_account_price_pnl_bps,p25_net_account_price_pnl_bps,p75_net_account_price_pnl_bps,p95_net_account_price_pnl_bps,mean_gross_account_price_pnl_bps,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps,median_holding_minutes,p90_holding_minutes,max_holding_minutes_observed,mean_mae_account_price_pnl_bps,median_mae_account_price_pnl_bps,mean_mfe_account_price_pnl_bps,median_mfe_account_price_pnl_bps,profit_factor,day_block_bootstrap_ci_low,day_block_bootstrap_ci_high,profitable_days,total_active_days,quality_flags
binance/bitget,ROLLING_72H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/bitget,ROLLING_7D,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/bitget,EXPANDING_PAST,TWO_SIDED_P75_P25,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,342,306,263,0,0,40,0,3,36,0,0.8594771241830066,0.0,0.13071895424836602,0.14052287581699346,0.10526315789473684,0,0.0,-4672.800192572455,-17.767301112442794,-17.934089697645412,-18.70090087344354,-18.36053541554304,-17.372658310166305,-16.181693697482164,2.2326988875572105,-0.034229657794676814,-17.80153077023747,5.0,21.80000000000001,86.0,0.3358068031946816,0.2513110057467127,2.258356569134866,2.0630179874936427,0.0,-17.763860225842215,-16.622555838712067,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,LOCKED_SIGNAL_ENTRY,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,125,125,110,0,0,15,0,0,0,0,0.88,0.0,0.12,0.12,0.0,0,0.0,-1946.6783064783397,-17.69707551343945,-17.8580054041416,-18.950737411460594,-18.38153867620885,-17.28791452162979,-15.898586034090732,2.3029244865605487,-0.0891690909090909,-17.786244604348543,4.0,23.10000000000001,68.0,0.5069755287526885,0.27226320041651153,2.3307289638837605,2.1053569293669194,0.0,-17.69566915310021,-16.42531865766601,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEAN,,COMMON_FOUR_WINDOW,131,115,100,0,0,15,0,0,16,0,0.8695652173913043,0.0,0.13043478260869565,0.13043478260869565,0.12213740458015267,0,0.0,-1753.7557640728812,-17.537557640728814,-17.701667977051954,-18.647542364517637,-18.252779501852345,-17.207921867521108,-15.864111912933753,2.4624423592711886,-0.098086,-17.635643640728812,4.0,24.0,68.0,0.6520175969603692,0.4410939529539415,2.482264972952969,2.268742573510729,0.0,-17.537638683741296,-16.369030112577295,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,COMMON_FOUR_WINDOW,126,110,95,0,0,14,0,1,16,0,0.8636363636363636,0.0,0.12727272727272726,0.13636363636363635,0.12698412698412698,0,0.0,-1663.5205931477808,-17.510743085766112,-17.65489971462584,-18.660860612896997,-18.21791937573007,-17.166857485933477,-15.906980575546996,2.4892569142338856,-0.10324842105263159,-17.613991506818742,4.0,22.200000000000017,68.0,0.6606271457857298,0.2513110057467127,2.5051577045188096,2.3056460719883543,0.0,-17.506437249874164,-16.71473985663163,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,130,114,99,0,0,15,0,0,16,0,0.868421052631579,0.0,0.13157894736842105,0.13157894736842105,0.12307692307692308,0,0.0,-1736.548011419504,-17.540889004237414,-17.694353928011644,-18.647895640338955,-18.257014692219222,-17.22609142896873,-15.84474796639805,2.459110995762585,-0.09907676767676768,-17.639965771914184,4.0,24.0,68.0,0.627895465680593,0.29321539508631034,2.4762354068208037,2.2616431625754885,0.0,-17.540810011891157,-16.372201440727153,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,10080.0,COMMON_FOUR_WINDOW,130,114,99,0,0,15,0,0,16,0,0.868421052631579,0.0,0.13157894736842105,0.13157894736842105,0.12307692307692308,0,0.0,-1736.548011419504,-17.540889004237414,-17.694353928011644,-18.647895640338955,-18.257014692219222,-17.22609142896873,-15.84474796639805,2.459110995762585,-0.09907676767676768,-17.639965771914184,4.0,24.0,68.0,0.627895465680593,0.29321539508631034,2.4762354068208037,2.2616431625754885,0.0,-17.540810011891157,-16.372201440727153,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,1440.0,COMMON_FOUR_WINDOW,130,114,99,0,0,15,0,0,16,0,0.868421052631579,0.0,0.13157894736842105,0.13157894736842105,0.12307692307692308,0,0.0,-1736.548011419504,-17.540889004237414,-17.694353928011644,-18.647895640338955,-18.257014692219222,-17.22609142896873,-15.84474796639805,2.459110995762585,-0.09907676767676768,-17.639965771914184,4.0,24.0,68.0,0.627895465680593,0.29321539508631034,2.4762354068208037,2.2616431625754885,0.0,-17.540810011891157,-16.372201440727153,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,4320.0,COMMON_FOUR_WINDOW,130,114,99,0,0,15,0,0,16,0,0.868421052631579,0.0,0.13157894736842105,0.13157894736842105,0.12307692307692308,0,0.0,-1736.548011419504,-17.540889004237414,-17.694353928011644,-18.647895640338955,-18.257014692219222,-17.22609142896873,-15.84474796639805,2.459110995762585,-0.09907676767676768,-17.639965771914184,4.0,24.0,68.0,0.627895465680593,0.29321539508631034,2.4762354068208037,2.2616431625754885,0.0,-17.540810011891157,-16.372201440727153,0,7,
binance/bitget,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEDIAN,,COMMON_FOUR_WINDOW,125,109,94,0,0,14,0,1,16,0,0.8623853211009175,0.0,0.12844036697247707,0.13761467889908258,0.128,0,0.0,-1645.6743834987712,-17.50717429254012,-17.66404531940295,-18.661961614192712,-18.204930064073515,-17.15989217694806,-15.905301667255744,2.492825707459879,-0.1043468085106383,-17.611521101050755,4.0,22.400000000000006,68.0,0.6263309189991959,0.21039885753276755,2.5088956550882595,2.295153468921396,0.0,-17.50515944328613,-16.714116925919964,0,7,
binance/bitget,ROLLING_24H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/bitget,ROLLING_72H,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/bitget,ROLLING_7D,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,COMMON_FOUR_WINDOW,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,ZERO_EVENTS
binance/gate,EXPANDING_PAST,TWO_SIDED_P75_P25,RECHECK_AT_NEXT_OPEN,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,LOCKED_SIGNAL_ENTRY,FROZEN_ENTRY_MEAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEAN,,PAIR_NATIVE_WINDOW,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0,0,REALIZED_LT_10|HIGH_UNRESOLVED_RATE
binance/gate,EXPANDING_PAST,UPPER_P75_ONLY,RECHECK_AT_NEXT_OPEN,DYNAMIC_CAUSAL_MEDIAN,,PAIR_NATIVE_WINDOW,16,10,9,0,0,1,0,0,6,0,0.9,0.0,0.1,0.1,0.375,0,0.0,-153.0377890129357,-17.004198779215077,-17.287852993843593,-20.035777669981975,-18.120906764494386,-16.242190590344244,-12.910505799774025,2.9958012207849225,-1.9262166666666662,-18.930415445881742,64.0,1207.8000000000002,2163.0,-5.501854668770425,-5.0896299905234255,5.7497193513570775,5.499188045981485,0.0,-19.751124067920436,-16.626103560137903,0,3,REALIZED_LT_10
